Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Volume,Open Int,Vol/OI,ITM Prob,Moneyness,Bid,Mid,Ask,Change,%Change,OI Chg,Type,Last Trade
6870,25.84,25.84,11.28%,-0.6624,0.0092,-7.0718,1.3,13629,1101,12.38,63.30%,0.07%,22.9,23,23.1,32.11,281.91%,324,Put,11:09 ET
6875,30.65,30,11.87%,-0.6973,0.0083,-7.0954,1.2421,10807,1879,5.75,68.74%,0.14%,25.7,25.85,26,35,282.26%,731,Put,11:09 ET
6880,33.76,33.76,12.01%,-0.7351,0.0078,-6.7009,1.1647,12678,1205,10.52,74.10%,0.21%,29.8,30,30.2,38.53,292.56%,588,Put,11:09 ET
6885,37.55,37.55,12.02%,-0.7721,0.0073,-6.1454,1.0743,9211,777,11.85,79.08%,0.29%,33.4,33.6,33.8,42.56,299.09%,874,Put,11:09 ET
6890,41.65,41.65,12.16%,-0.8033,0.0066,-5.6725,0.9853,12220,970,12.6,83.17%,0.36%,37.2,37.4,37.6,44.97,282.30%,471,Put,11:09 ET
6895,45.2,45.2,11.52%,-0.848,0.0058,-4.4793,0.8346,8460,529,15.99,88.19%,0.43%,41.2,41.45,41.7,48.7,295.15%,497,Put,11:09 ET
6900,51,49.85,11.97%,-0.8659,0.0052,-4.2542,0.7669,9649,2085,4.63,90.39%,0.51%,44.7,45.3,45.9,51.26,281.34%,333,Put,11:09 ET
6905,53.66,53.66,11.01%,-0.9103,0.0042,-2.83,0.5726,4059,835,4.86,94.46%,0.58%,49.4,49.85,50.3,56,293.19%,1600,Put,11:09 ET
6910,59.5,59.05,12.46%,-0.9029,0.004,-3.4656,0.6073,4842,641,7.55,94.14%,0.65%,52.9,53.55,54.2,58.3,281.64%,717,Put,11:09 ET
6915,63,63.7,12.62%,-0.9184,0.0035,-3.0452,0.5338,2582,287,9,95.56%,0.73%,58.8,59.05,59.3,62.5,280.27%,338,Put,11:09 ET
6920,66.49,68.5,12.97%,-0.9288,0.0032,-2.7988,0.4813,1410,424,3.33,96.46%,0.80%,63.2,63.7,64.2,64.63,261.98%,244,Put,11:09 ET
6925,74.2,73.45,13.58%,-0.9339,0.003,-2.7651,0.4533,1768,1338,1.32,96.91%,0.87%,68,68.5,69,67.83,254.81%,65,Put,11:08 ET
6930,77.5,77.5,11.12%,-0.9824,0.0021,-0.6522,0.1459,522,403,1.3,99.30%,0.94%,72.9,73.45,74,69.74,235.69%,1008,Put,11:09 ET
6935,82.45,83.2,14.38%,-0.9483,0.0023,-2.3904,0.3732,1356,1185,1.14,97.91%,1.02%,77.5,78.1,78.7,73.32,234.25%,47,Put,11:06 ET
6940,84.63,88.1,14.77%,-0.954,0.0021,-2.2238,0.339,370,261,1.42,98.27%,1.09%,82.6,83.2,83.8,73.81,212.83%,1006,Put,11:08 ET
6945,92.64,92.64,13.71%,-0.9754,0.0014,-1.1488,0.1991,209,185,1.13,99.22%,1.16%,87.6,88.1,88.6,75.91,206.05%,-14,Put,11:07 ET
6950,97.6,97.6,14.10%,-0.9786,0.0015,-1.0387,0.1759,281,643,0.44,99.36%,1.24%,92.5,93.1,93.7,63.39,162.08%,24,Put,10:58 ET
6955,102.3,0,0.00%,0,0,0,0,62,118,0.53,100.00%,1.31%,97.5,98.15,98.8,80.41,190.59%,31,Put,11:07 ET
6960,102,107.85,16.49%,-0.9691,0.0012,-1.7613,0.244,81,138,0.59,99.10%,1.38%,99.7,101.75,103.8,66.1,141.85%,15,Put,10:56 ET
6965,110.7,112.9,17.31%,-0.9681,0.0013,-1.9138,0.2511,61,231,0.26,99.10%,1.45%,107.2,107.85,108.5,82.65,164.15%,42,Put,11:06 ET
6970,112.15,0,0.00%,0,0,0,0,28,187,0.15,100.00%,1.53%,112.2,112.9,113.6,55.97,84.69%,1,Put,10:57 ET
6975,116.7,0,0.00%,0,0,0,0,49,179,0.27,100.00%,1.60%,114.8,116.75,118.7,46.75,71.48%,71,Put,10:41 ET
6980,115.72,128.05,19.77%,-0.9661,0.0013,-2.3498,0.2658,96,338,0.28,99.10%,1.67%,120,121.85,123.7,55.23,82.10%,12,Put,10:48 ET
6985,121,133.05,20.39%,-0.967,0.0012,-2.3725,0.2598,37,490,0.08,99.15%,1.75%,127.4,128.05,128.7,46.15,66.34%,46,Put,10:22 ET
6990,132.1,0,0.00%,0,0,0,0,13,131,0.1,100.00%,1.82%,132.4,133.05,133.7,45.45,60.16%,14,Put,10:13 ET
6995,99,142.8,20.50%,-0.9763,0.0009,-1.7617,0.1956,2,31,0.06,99.48%,1.89%,134.7,136.7,138.7,51.75,64.41%,16,Put,10:41 ET
7000,144.15,148.05,22.25%,-0.9694,0.0009,-2.4358,0.2437,67,539,0.12,99.28%,1.96%,142.1,142.8,143.5,3.52,3.69%,4,Put,05:14 ET
7005,139.49,0,0.00%,0,0,0,0,8,18,0.44,100.00%,2.04%,147.4,148.05,148.7,72.66,84.74%,76,Put,10:56 ET
7010,157.85,157.85,22.53%,-0.9767,0.0007,-1.9299,0.1927,76,18,4.22,99.52%,2.11%,149.8,151.75,153.7,41.49,42.34%,4,Put,10:09 ET
7015,148.95,0,0.00%,0,0,0,0,3,15,0.2,100.00%,2.18%,154.4,156.25,158.1,70.03,64.19%,5,Put,11:03 ET
7020,154.39,0,0.00%,0,0,0,0,205,221,0.93,100.00%,2.26%,159.2,161.15,163.1,48.53,38.37%,13,Put,11:00 ET
7025,116.14,0,0.00%,0,0,0,0,199,215,0.93,100.00%,2.33%,164.4,166.25,168.1,39.57,34.46%,203,Put,10:09 ET
7030,177.55,0,0.00%,0,0,0,0,0,22,0,100.00%,2.40%,169.4,171.25,173.1,-3.21,-2.69%,201,Put,09:36 ET
7035,99.88,0,0.00%,0,0,0,0,0,3,0,100.00%,2.47%,174.2,176.1,178,unch,unch,7,Put,02/13/26
7040,150.55,0,0.00%,0,0,0,0,1,3,0.33,100.00%,2.55%,179.9,181.5,183.1,unch,unch,2,Put,02/10/26
7045,0,0,0.00%,0,0,0,0,0,1,0,100.00%,2.62%,184.9,186.4,187.9,8.08,5.67%,3,Put,09:46 ET
7050,148.14,0,0.00%,0,0,0,0,0,10,0,100.00%,2.69%,190.2,191.55,192.9,unch,unch,1,Put,N/A
7055,143.5,0,0.00%,0,0,0,0,6,12,0.5,100.00%,2.77%,194.9,196.5,198.1,unch,unch,3,Put,02/18/26
7060,195.19,0,0.00%,0,0,0,0,0,3,0,100.00%,2.84%,196.7,199.65,202.6,-3.9,-2.65%,12,Put,09:32 ET
7065,0,0,0.00%,0,0,0,0,0,0,0,100.00%,2.91%,201.7,204.8,207.9,unch,unch,unch,Put,02/12/26
7070,180.53,0,0.00%,0,0,0,0,1,7,0.14,100.00%,2.98%,206.7,209.65,212.6,unch,unch,unch,Put,N/A
7075,281.58,0,0.00%,0,0,0,0,0,7,0,100.00%,3.06%,209,213.3,217.6,17.82,10.95%,3,Put,09:46 ET
Downloaded from Barchart.com as of 02-23-2026 10:24am CST,,,,,,,,,,,,,,,,,,,,
